platform,course name,instructor,subject,image,description,link,rating
udemy,Android App Development with Android Studio and Android apps,Mehmet ÖNGEL,android,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ1JK-YY-1EoB7FaqBtv3FHY9anaWuHGgLFA&usqp=CAU,"Welcome to the ""Android App Development with Android Studio and Android apps"" course.Android App Development & Android Studio, build 12 different Android apps, learn android, android development in detail",https://www.udemy.com/course/android-mobile-app-development-for-everyone/,4.9
udemy,Kotlin Coroutines and Flow for Android Development [2023],Lukas Lechner,android,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ1JK-YY-1EoB7FaqBtv3FHY9anaWuHGgLFA&usqp=CAU,"Google recommends Kotlin Coroutines and Flow as the preferred solution for asynchronous programming on Android. Sooner or later, probably every  Android developer will get in touch with these topics.",https://www.udemy.com/course/coroutines-on-android/,4.8
coursera,Meta Android Developer Professional Certificate,Meta Staff,android,https://tse4.mm.bing.net/th?id=OIP.m_9lBNPI7o1Go0k0h8SeSgHaEo&pid=Api&P=0,Get started in the in-demand field of mobile app development with a Professional Certificate from Meta. Learn the foundations of Android app development and gain hands-on experience with programming and tools through developing a native Android mobile app for your portfolio.,https://www.coursera.org/professional-certificates/meta-android-developer#instructors,4.7
coursera,Kotlin for Java Developers,Svetlana Isakova,android,https://tse4.mm.bing.net/th?id=OIP.m_9lBNPI7o1Go0k0h8SeSgHaEo&pid=Api&P=0,"The Kotlin programming language is a modern language that gives you more power for your everyday tasks. Kotlin is concise, safe, pragmatic, and focused on interoperability with Java code. It can be used almost everywhere Java is used today: for server-side development, Android apps, and much more. Kotlin is 100% compatible with all existing Java frameworks, and has good tooling support. ",https://www.coursera.org/learn/kotlin-for-java-developers,4.7
coursera,Introduction to Android Mobile Application Development,Meta Staff,android,https://tse4.mm.bing.net/th?id=OIP.m_9lBNPI7o1Go0k0h8SeSgHaEo&pid=Api&P=0,This course is an ideal stepping stone if you want to become a mobile developer. We’ll introduce you to this career path and give you a high-level overview of programming and the tools needed to develop Android applications. ,https://www.coursera.org/learn/introduction-to-android-mobile-application-development,4.7
udemy,The Complete Android 13 App Development Bootcamp 2023,Vin Norman,android,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ1JK-YY-1EoB7FaqBtv3FHY9anaWuHGgLFA&usqp=CAU,"Android App Development in Java AND Kotlin. From a complete beginner, learn to make real apps, build your portfolio in a modern course with latest best practice! Android 13 ready!",https://www.udemy.com/course/the-complete-android-developer-bootcamp/,4.7
udemy,The complete Java Android App development Bootcamp,Maid Rondić,android,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ1JK-YY-1EoB7FaqBtv3FHY9anaWuHGgLFA&usqp=CAU,"So here we are, you are on landing page of the course that teaches Android development. You are trying to become an Android developer? Have you ever wondered how Android apps are built? Do you want to create Android app for yourself, for your business or maybe you want to make money by selling your applications or uploading them to google play store?",https://www.udemy.com/course/learn-android-app-development-from-scratch-with-java/,4.7
coursera,Programming Mobile Applications for Android Handheld Systems: Part 1,Dr. Adam Porter,android,https://tse4.mm.bing.net/th?id=OIP.m_9lBNPI7o1Go0k0h8SeSgHaEo&pid=Api&P=0,"This course introduces you to the design and implementation of Android applications for mobile devices. You will develop an app from scratch, assuming a basic knowledge of Java, and learn how to set up Android Studio, work with various Activities and create simple user interfaces to make your apps run smoothly.",https://www.coursera.org/learn/android-programming,4.6
great learning,Python For Android,Shambhavi Gupta,android,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlC8dIrfZYmhuyMhyGBLJTleW0OMXEQQ07xGfWCPwcJLlqnu9nuknwmXzxCxLAe57jGOc&usqp=CAU,"Learn python for android from basics in this free online training. Python for android course is taught hands-on by experts. Learn introduction to kivy library, calculator app implementation & lot more in details with example.",https://www.mygreatlearning.com/academy/learn-for-free/courses/python-for-android,4.6
coursera,Android App Development Specialization,Dr. Jerry Roth,android,https://tse4.mm.bing.net/th?id=OIP.m_9lBNPI7o1Go0k0h8SeSgHaEo&pid=Api&P=0,"This Specialization enables learners to successfully apply core Java programming languages features & software patterns needed to develop maintainable mobile apps comprised of core Android components, as well as fundamental Java I/O & persistence mechanisms. ",https://www.coursera.org/specializations/android-app-development,4.5
