platform,course name,instructor,subject,rating,image,description,link
simplilearn ,Business Analytics: Excel Macros & VBA for Beginners,Simplilearn Instructors,data analytics,5,https://reflectivedata.com/wp-content/uploads/2019/07/image3.jpg,This MS Excel course for Beginners is the exact course you are looking for if you want to step up your Excel game. In this free Macros course you will learn the basics of Excel Macros and how to set up and implement VBA in Excel. This free Microsoft Excel training will give you a good understanding of Excel Macros and VBA if you are a beginner in this domain.,https://www.simplilearn.com/free-excel-macros-vba-course-skillup
great learning,R for Data Science,Mr. Bharani Akella,data science,5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_FBsmUdks1f6WUaDXWMQI6e3c41cMxz9nO5jdO_Ybb8R89ng8mIBxiGjLvl0mxyBnVe8&usqp=CAU,"This course will introduce you to R programming for Data Science, with a few demonstrated examples. The course shall focus you on the elements and features available in R to work on Data Science tasks.",https://www.mygreatlearning.com/academy/learn-for-free/courses/r-for-data-science
simplilearn ,Java Programming 101: Introduction to Java,Simplilearn Instructors,java,5,https://tse4.mm.bing.net/th?id=OIP.1W-Hhb-tcCLjDJS0DFUtwwHaD8&pid=Api&P=1,"This Introduction to Java programming course will cover the basics of the Java programming language which includes What is Java? How Java works ?,Features and a detailed step by step Installation of Java Software. By the end of this course you will have a clear understanding of Java programming for a great career on Data Science and programming",https://www.simplilearn.com/free-java-introduction-course-skillup?tag=java
udemy,Android App Development with Android Studio and Android apps,Mehmet ÖNGEL,android,4.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ1JK-YY-1EoB7FaqBtv3FHY9anaWuHGgLFA&usqp=CAU,"Welcome to the ""Android App Development with Android Studio and Android apps"" course.Android App Development & Android Studio, build 12 different Android apps, learn android, android development in detail",https://www.udemy.com/course/android-mobile-app-development-for-everyone/
udemy,Introduction to the Latest Artificial Intelligence Tools,Bryan Guerra,artificial intelligence,4.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsScVQu_kmQeWeae4TOERYEH-wSVjypJm9JQ&usqp=CAU,In this course we’re specifically going to cover how these tools can revolutionize EVERYTHING around you if you know how to use them...and how to Get More Done….with Less Effort….in Less Time using them!,https://www.udemy.com/course/introduction-to-the-latest-artificial-intelligence-tools/
udemy,C/C++ Pointers & Applications,Umar Lone,c++/c,4.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmQ2T2pKrjo9bhun7ygxrnj4dKSb-TKw6r2w&usqp=CAU,"This course focuses on pointers and their applications.It leans more towards implementation in C++, rather C. You'll learn the basics of pointers and then move on to understanding and implementing arrays, pointers to arrays & heap based arrays. You'll also learn advanced memory management by creating a custom dynamic array (just like std::vector<T> in standard C++ library). You'll use placement new & delete to directly place objects in a memory pool allocated through operator new function. As you'll see later in the course, this is a powerful mechanism to optimize usage of heap memory with user-defined objects.",https://www.udemy.com/course/cpp-pointers/
coursera,"Algorithms, Part I",Kevin Wayne,dsa,4.9,https://tse4.mm.bing.net/th?id=OIP.xlLdeW39C7DaT0oZLvSfzgHaDt&pid=Api&P=0,"This course covers the essential information that every serious programmer needs to know about algorithms and data structures, with emphasis on applications and scientific performance analysis of Java implementations. ",https://www.coursera.org/learn/algorithms-part1
coursera,"Algorithms, Part II",Robert Sedgewick,dsa,4.9,https://tse4.mm.bing.net/th?id=OIP.xlLdeW39C7DaT0oZLvSfzgHaDt&pid=Api&P=0,"This course covers the essential information that every serious programmer needs to know about algorithms and data structures, with emphasis on applications and scientific performance analysis of Java implementations. Part I covers elementary data structures, sorting, and searching algorithms. Part II focuses on graph- and string-processing algorithms.",https://www.coursera.org/learn/algorithms-part2
coursera,Deep Learning Specialization,Andrew Ng,deep learning,4.9,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,https://www.coursera.org/specializations/deep-learning
coursera,Neural Networks and Deep Learning,Andrew Ng,deep learning,4.9,https://tse2.mm.bing.net/th?id=OIP.l3ehPyHJOAEzxXbNjJAUZgHaEX&pid=Api&P=0,"By the end, you will be familiar with the significant technological trends driving the rise of deep learning; build, train, and apply fully connected deep neural networks; implement efficient (vectorized) neural networks; identify key parameters in a neural network’s architecture; and apply deep learning to your own applications.",https://www.coursera.org/learn/neural-networks-deep-learning
